title,author,publisher,description,rank,weeks_on_list,primary_isbn13,list_name,list_date
A MERCY,Toni Morrison,Knopf,"In 17th-century America, a slave mother urges a Northern farmer to buy her daughter so that she can have a better life.",13,4,9780307264237,hardcover-fiction,2008-12-23
THE PRIVATE PATIENT,P. D. James,Knopf,Cmdr. Adam Dalgliesh investigates the murder of a journalist who had been a patient at a private clinic.,14,3,9780307270771,hardcover-fiction,2008-12-23
THE GATE HOUSE,Nelson DeMille,Grand Central,In a sequel to “The Gold Coast” (1990) a tax attorney and his ex-wife explore a reconciliation.,15,6,9780446533423,hardcover-fiction,2008-12-23
EXTREME MEASURES,Vince Flynn,Atria,Mitch Rapp teams up with a C.I.A. colleague to fight a terrorist cell — and the politicians who would rein them in.,16,0,9780743270427,hardcover-fiction,2008-12-23
DASHING THROUGH THE SNOW,Mary Higgins Clark and Carol Higgins Clark,Simon & Schuster,Life in a picturesque New Hampshire town is not what it seems.,17,0,9781439129173,hardcover-fiction,2008-12-23
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,"After World War II, a journalist seeks out Guernsey residents who resisted the Nazi occupation.",18,0,9780385340991,hardcover-fiction,2008-12-23
THE BRASS VERDICT,Michael Connelly,"Little, Brown",Harry Bosch and Mickey Haller (the Lincoln lawyer) team up to find a killer.,19,0,9780316166294,hardcover-fiction,2008-12-23
CRUEL INTENT,J. A. Jance,Pocket Star,Ali Reynolds must determine whether the contractor renovating her Arizona house is a killer or the victim of a frame-up.,20,0,9781416563792,hardcover-fiction,2008-12-23
PRINCEPS’ FURY,Jim Butcher,Ace,"In the fifth book of the Alera fantasy cycle, Alera makes peace with one foe only to face an invasion by the dreaded Vord.",21,0,9780441016389,hardcover-fiction,2008-12-23
KNIT TWO,Kate Jacobs,Putnam,"The members of the Friday Night Knitting Club struggle with the challenges of being mothers, wives, daughters and friends.",22,0,9780399155833,hardcover-fiction,2008-12-23
THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf,A hacker and a journalist investigate the 40-year-old disappearance of a Swedish heiress.,23,0,9780307269751,hardcover-fiction,2008-12-23
FROM DEAD TO WORSE,Charlaine Harris,Ace,"Following a deadly explosion at a vampire summit, the cocktail waitress Sookie Stackhouse faces danger.",24,0,9780441015894,hardcover-fiction,2008-12-23
A LION AMONG MEN,Gregory Maguire,Morrow,"A looming civil war in Oz, seen through the eyes of the Cowardly Lion; Book 3 of the Wicked Years.",25,0,9780060548926,hardcover-fiction,2008-12-23
ENDER IN EXILE,Orson Scott Card,Tor/Tom Doherty,The latest entry in the “Ender” science fiction series.,26,0,9780765304964,hardcover-fiction,2008-12-23
THE GIVEN DAY,Dennis Lehane,Morrow,Two families in a turbulent Boston at the end of World War I.,27,0,9780688163181,hardcover-fiction,2008-12-23
A GOOD WOMAN,Danielle Steel,Delacorte,An American society girl who made a new life as a doctor in World War I France returns to New York.,28,0,9780385340267,hardcover-fiction,2008-12-23
GRACE,Richard Paul Evans,Simon & Schuster,"A runaway girl and the two boys who try to save her, from the author of “The Christmas Box” and “The Gift.”",29,0,9781416550037,hardcover-fiction,2008-12-23
2666,Roberto Bolaño,"Farrar, Straus & Giroux",,30,0,9780374100148,hardcover-fiction,2008-12-23
TESTIMONY,Anita Shreve,"Little, Brown",A sex scandal at a Vermont prep school is caught on tape.,31,0,9780316059862,hardcover-fiction,2008-12-23
MIDNIGHT,Sister Souljah,Atria,A boy from Sudan struggles to protect his mother and sister and remain true to his Islamic principles in a Brooklyn housing project.,32,0,9781416545187,hardcover-fiction,2008-12-23
A DOG NAMED CHRISTMAS,Greg Kincaid,Doubleday,,33,0,9780385525985,hardcover-fiction,2008-12-23
JESUS,Deepak Chopra,HarperOne,,34,0,9780061448737,hardcover-fiction,2008-12-23
SALVATION IN DEATH,J. D. Robb,Berkley,"Lt. Eve Dallas investigates the murder of a mysterious priest; by Nora Roberts, writing pseudonymously.",35,0,9780399155222,hardcover-fiction,2008-12-23
OUTLIERS,Malcolm Gladwell,"Little, Brown","Unexpected factors that explain why some people succeed, such as upbringing, timing and 10,000 hours of deliberate practice.",1,3,9780316017923,hardcover-nonfiction,2008-12-23
DEWEY,Vicki Myron with Bret Witter,"Little, Brown",The tale of a book-drop mascot. (Ages 4 to 8),2,12,9780446407410,hardcover-nonfiction,2008-12-23
AMERICAN LION,Jon Meacham,Random House,"Andrew Jackson, the seventh president, in the White House, by the editor of Newsweek.",3,4,9781400063253,hardcover-nonfiction,2008-12-23
MULTIPLE BLESSINGS,"Jon Gosselin, Kate Gosselin and Beth Carson",Zondervan,A couple has sextuplets.,4,7,9780310289029,hardcover-nonfiction,2008-12-23
A BOLD FRESH PIECE OF HUMANITY,Bill O’Reilly,Broadway,The Fox News commentator on his upbringing and career.,5,11,9780767928823,hardcover-nonfiction,2008-12-23
TOO FAT TO FISH,Artie Lange with Anthony Bozza,Spiegel & Grau,"Humorous memories from the comedian, a member of the cast of “The Howard Stern Show.”",6,4,9780385526562,hardcover-nonfiction,2008-12-23
WHY WE SUCK,Denis Leary,Viking,"Sardonic essays from the actor and comedian, currently the co-creator and star of the TV series “Rescue Me.”",7,3,9780670031603,hardcover-nonfiction,2008-12-23
THE SNOWBALL,Alice Schroeder,Bantam,The life of Warren Buffett.,8,10,9780553805093,hardcover-nonfiction,2008-12-23
DO THE RIGHT THING,Mike Huckabee,Sentinel,A campaign memoir and statement of principles from the former Republican presidential aspirant.,9,3,9781595230546,hardcover-nonfiction,2008-12-23
"HOT, FLAT, AND CROWDED",Thomas L. Friedman,"Farrar, Straus & Giroux","How a green revolution can renew America, by the New York Times columnist.",10,13,9780374166854,hardcover-nonfiction,2008-12-23
CALL ME TED,Ted Turner with Bill Burke,Grand Central,The entrepreneur’s personal story.,11,4,9780446581899,hardcover-nonfiction,2008-12-23
THE AMERICAN JOURNEY OF BARACK OBAMA,the editors of Life magazine,"Little, Brown","Photographs and essays, starting with Obama’s birth in Hawaii.",12,5,9780316045605,hardcover-nonfiction,2008-12-23
LETTER TO MY DAUGHTER,Maya Angelou,Random House,"Reminiscences, appreciations and poems.",13,10,9781400066124,hardcover-nonfiction,2008-12-23
THE ASCENT OF MONEY,Niall Ferguson,Penguin Press,"A financial history of the world, stressing the link between politics and economics.",14,2,9781594201929,hardcover-nonfiction,2008-12-23
ANNIE LEIBOVITZ AT WORK,Annie Leibovitz,Random House,"Memorable photographs, and a text — part memoir, part commentary — based on conversations with the book’s editor.",15,3,9780375505102,hardcover-nonfiction,2008-12-23
DECIDING THE NEXT DECIDER,Calvin Trillin,Random House,The 2008 presidential race in rhyme.,16,1,9781400068289,hardcover-nonfiction,2008-12-23
WISHFUL DRINKING,Carrie Fisher,Simon & Schuster,A memoir based on Fisher’s one-woman autobiographical show. Originally published in 2008.,17,0,9781439102251,hardcover-nonfiction,2008-12-23
ALEX AND ME,Irene Pepperberg,Collins,,18,0,9780061672477,hardcover-nonfiction,2008-12-23
THE RETURN OF DEPRESSION ECONOMICS AND THE CRISIS OF 2008,Paul Krugman,Norton,"The origins of the current financial crisis and how it can be contained, by the Nobel Prize-winning economist.",19,0,9780393071016,hardcover-nonfiction,2008-12-23
THE NEW YORK TIMES,Introduction by Bill Keller,Black Dog & Leventhal,"A book containing more than 300 Times front pages, along with three DVDs of the complete 54,267 front pages from the past 157 years.",20,0,9781579127497,hardcover-nonfiction,2008-12-23
THE AUDACITY OF HOPE,Barack Obama,Crown,The Illinois senator proposes that Americans move beyond their political divisions.,21,0,9780307455871,hardcover-nonfiction,2008-12-23
FLEECED,Dick Morris and Eileen McGann,Harper,"Americans are fleeced by government, business, labor unions and lobbyists.",22,0,9780061547751,hardcover-nonfiction,2008-12-23
PANIC!,Michael Lewis,Norton,,23,0,9780393065145,hardcover-nonfiction,2008-12-23
JOHN LENNON,Philip Norman,Ecco,"Life in the Beatles and beyond, from the author of “Shout!”; first published in 2008.",24,0,9780060754013,hardcover-nonfiction,2008-12-23
AUDITION,Barbara Walters,Knopf,A personal and professional memoir.,25,0,9780739327302,hardcover-nonfiction,2008-12-23
WHEN YOU ARE ENGULFED IN FLAMES,David Sedaris,"Little, Brown",The humorist’s latest essays.,26,0,9780316143479,hardcover-nonfiction,2008-12-23
HOLIDAYS ON ICE,David Sedaris,"Little, Brown",Comic essays about Christmas.,27,0,9780316035903,hardcover-nonfiction,2008-12-23
IN DEFENSE OF FOOD,Michael Pollan,Penguin Press,A manifesto urges us to “Eat food. Not too much. Mostly plants.”,28,0,9781594201455,hardcover-nonfiction,2008-12-23
THE 10 BIG LIES ABOUT AMERICA,Michael Medved,Crown Forum,,29,0,9780307394064,hardcover-nonfiction,2008-12-23
MY STROKE OF INSIGHT,Jill Bolte Taylor,Viking,A brain scientist shares what she learned from her 1996 stroke.,30,0,9780670020744,hardcover-nonfiction,2008-12-23
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,Simon Spotlight Entertainment,Humorous personal essays from the comedian.,31,0,9781416954125,hardcover-nonfiction,2008-12-23
THE GLORY GAME,Frank Gifford with Peter Richmond,Harper,,32,0,9780061542558,hardcover-nonfiction,2008-12-23
DREAMS FROM MY FATHER,Barack Obama,Crown,Stories on life as the son of a Black African father and a white American mother by the man who would become the 44th president of the United States; originally published in 1995.,33,0,9781400082773,hardcover-nonfiction,2008-12-23
THE RISE OF BARACK OBAMA,Pete Souza,Triumph,"Photographs of Obama’s career, from his first day in the U.S. Senate to the Pennsylvania primary last April.",34,0,9781600781636,hardcover-nonfiction,2008-12-23
MRS. ASTOR REGRETS,Meryl Gordon,Houghton Mifflin,,35,0,9780618893737,hardcover-nonfiction,2008-12-23
SCARPETTA,Patricia Cornwell,Putnam,The forensic pathologist Kay Scarpetta takes an assignment in New York City.,1,2,9780399155161,hardcover-fiction,2008-12-30
THE CHRISTMAS SWEATER,Glenn Beck with Kevin Balfe and Jason Wright,Threshold Editions,A boy learns from his disappointment with his mother’s gift.,2,5,9781416594857,hardcover-fiction,2008-12-30
CROSS COUNTRY,James Patterson,"Little, Brown",Alex Cross chases the leader of a lethal teenage gang.,3,4,9780316018722,hardcover-fiction,2008-12-30
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.,4,27,9780061374227,hardcover-fiction,2008-12-30
THE HOST,Stephenie Meyer,"Little, Brown","In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008.",5,31,9780316068048,hardcover-fiction,2008-12-30
JUST AFTER SUNSET,Stephen King,Scribner,A collection of short stories that blend fantasy and psychological realism.,6,5,9781439115305,hardcover-fiction,2008-12-30
ARCTIC DRIFT,Clive Cussler and Dirk Cussler,Putnam,"In his 20th adventure, Dirk Pitt searches for a crucial element that will help reverse global warming.",7,3,9780399155291,hardcover-fiction,2008-12-30
THE LUCKY ONE,Nicholas Sparks,Grand Central,A Marine returning home sets out to track down the woman whose photo he found in Iraq.,8,11,9780446579933,hardcover-fiction,2008-12-30
THE HOUR I FIRST BELIEVED,Wally Lamb,Harper,A man reconstructs five generations of family history.,9,5,9780060393496,hardcover-fiction,2008-12-30
A MERCY,Toni Morrison,Knopf,"In 17th-century America, a slave mother urges a Northern farmer to buy her daughter so that she can have a better life.",10,5,9780307264237,hardcover-fiction,2008-12-30
DIVINE JUSTICE,David Baldacci,Grand Central,"Members of Washington’s Camel Club rally to save their leader, who is hiding out in the town of Divine, Va.",11,6,9780446195508,hardcover-fiction,2008-12-30
THE CHARLEMAGNE PURSUIT,Steve Berry,Ballantine,"The former Justice Department operative Cotton Malone searches for the truth about his father’s death on a secret submarine mission to the Antarctic; an underground city, Nazis and an artifact from Charlemagne’s tomb are involved.",12,2,9780345485793,hardcover-fiction,2008-12-30
YOUR HEART BELONGS TO ME,Dean Koontz,Bantam,A man is stalked by a woman who resembles the donor of the heart he received in a transplant operation.,13,3,9780553807134,hardcover-fiction,2008-12-30
THE GATE HOUSE,Nelson DeMille,Grand Central,In a sequel to “The Gold Coast” (1990) a tax attorney and his ex-wife explore a reconciliation.,14,7,9780446533423,hardcover-fiction,2008-12-30
THE PRIVATE PATIENT,P. D. James,Knopf,Cmdr. Adam Dalgliesh investigates the murder of a journalist who had been a patient at a private clinic.,15,4,9780307270771,hardcover-fiction,2008-12-30
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,"After World War II, a journalist seeks out Guernsey residents who resisted the Nazi occupation.",16,15,9780385340991,hardcover-fiction,2008-12-30
EXTREME MEASURES,Vince Flynn,Atria,Mitch Rapp teams up with a C.I.A. colleague to fight a terrorist cell — and the politicians who would rein them in.,17,0,9780743270427,hardcover-fiction,2008-12-30
DASHING THROUGH THE SNOW,Mary Higgins Clark and Carol Higgins Clark,Simon & Schuster,Life in a picturesque New Hampshire town is not what it seems.,18,0,9781439129173,hardcover-fiction,2008-12-30
THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf,A hacker and a journalist investigate the 40-year-old disappearance of a Swedish heiress.,19,0,9780307269751,hardcover-fiction,2008-12-30
KNIT TWO,Kate Jacobs,Putnam,"The members of the Friday Night Knitting Club struggle with the challenges of being mothers, wives, daughters and friends.",20,0,9780399155833,hardcover-fiction,2008-12-30
THE BRASS VERDICT,Michael Connelly,"Little, Brown",Harry Bosch and Mickey Haller (the Lincoln lawyer) team up to find a killer.,21,0,9780316166294,hardcover-fiction,2008-12-30
A LION AMONG MEN,Gregory Maguire,Morrow,"A looming civil war in Oz, seen through the eyes of the Cowardly Lion; Book 3 of the Wicked Years.",22,0,9780060548926,hardcover-fiction,2008-12-30
A GOOD WOMAN,Danielle Steel,Delacorte,An American society girl who made a new life as a doctor in World War I France returns to New York.,23,0,9780385340267,hardcover-fiction,2008-12-30
ENDER IN EXILE,Orson Scott Card,Tor/Tom Doherty,The latest entry in the “Ender” science fiction series.,24,0,9780765304964,hardcover-fiction,2008-12-30
THE GIVEN DAY,Dennis Lehane,Morrow,Two families in a turbulent Boston at the end of World War I.,25,0,9780688163181,hardcover-fiction,2008-12-30
2666,Roberto Bolaño,"Farrar, Straus & Giroux",,26,0,9780374100148,hardcover-fiction,2008-12-30
FROM DEAD TO WORSE,Charlaine Harris,Ace,"Following a deadly explosion at a vampire summit, the cocktail waitress Sookie Stackhouse faces danger.",27,0,9780441015894,hardcover-fiction,2008-12-30
THE TREASURE,Iris Johansen,Bantam,,28,0,9780553807318,hardcover-fiction,2008-12-30
A DOG NAMED CHRISTMAS,Greg Kincaid,Doubleday,,29,0,9780385525985,hardcover-fiction,2008-12-30
GRACE,Richard Paul Evans,Simon & Schuster,"A runaway girl and the two boys who try to save her, from the author of “The Christmas Box” and “The Gift.”",30,0,9781416550037,hardcover-fiction,2008-12-30
THE OTHER QUEEN,Philippa Gregory,Touchstone,"The captivity of Mary, Queen of Scots.",31,0,9781416549123,hardcover-fiction,2008-12-30
CRUEL INTENT,J. A. Jance,Pocket Star,Ali Reynolds must determine whether the contractor renovating her Arizona house is a killer or the victim of a frame-up.,32,0,9781416563792,hardcover-fiction,2008-12-30
THE ART OF RACING IN THE RAIN,Garth Stein,Harper,"An insightful Lab-terrier mix helps his owner, a struggling race car driver.",33,0,9780061537936,hardcover-fiction,2008-12-30
UNACCUSTOMED EARTH,Jhumpa Lahiri,Knopf,Stories of the anxiety and transformation experienced by Bengalis in America.,34,0,9780307265739,hardcover-fiction,2008-12-30
MIDNIGHT,Sister Souljah,Atria,A boy from Sudan struggles to protect his mother and sister and remain true to his Islamic principles in a Brooklyn housing project.,35,0,9781416545187,hardcover-fiction,2008-12-30
BLACK OPS,W. E. B. Griffin,Putnam,An Army officer and special presidential agent is targeted for death — but by whom?,1,1,9780399155178,hardcover-fiction,2009-01-20
SCARPETTA,Patricia Cornwell,Putnam,The forensic pathologist Kay Scarpetta takes an assignment in New York City.,2,5,9780399155161,hardcover-fiction,2009-01-20
THE HOST,Stephenie Meyer,"Little, Brown","In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008.",3,34,9780316068048,hardcover-fiction,2009-01-20
CROSS COUNTRY,James Patterson,"Little, Brown",Alex Cross chases the leader of a lethal teenage gang.,4,7,9780316018722,hardcover-fiction,2009-01-20
FIRE AND ICE,Julie Garwood,Ballantine,A reporter and her F.B.I. bodyguard uncover a conspiracy in Alaska.,5,1,9780345500755,hardcover-fiction,2009-01-20
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.,6,30,9780061374227,hardcover-fiction,2009-01-20
